sequence,date,chapter,priority,title,source_type,repository,collection,identifier,level,confidence,category,compiler_risk,source_note,source_url,digital_object_url,scout_search_url,matched_queries,topics,summary
62,1994,Regional Proliferation Cases,High,"North Korea - Negotiations with the Democratic Peoples' Republic of Korea (DPRK), 1994",Clinton Digital Library folder,Clinton Digital Library,Steven Aoki files,2009-0528-F Segment 2,fileUnit,Medium,folder lead,Folder-level lead; needs item-level page screening.,"Source: Clinton Digital Library, Steven Aoki files, 2009-0528-F Segment 2. File-unit title: ""North Korea - Negotiations with the Democratic Peoples' Republic of Korea (DPRK), 1994"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/72779,,,DPRK negotiations; 1994; Aoki,North Korea; DPRK; Aoki,Folder lead from Steven Aoki's NSC Nonproliferation and Export Controls files for 1994 DPRK negotiations.
63,1994-05-20,Regional Proliferation Cases,High,Declassified Documents concerning North Korea,Clinton Digital Library MDR,Clinton Digital Library,NSC Records Management Office,2013-0870-M,packet lead,High,declassified document packet,Direct PC packet; verify released pages and title boundaries before final selection.,"Source: Clinton Digital Library, NSC Records Management Office, 2013-0870-M. Packet title: ""Declassified Documents concerning North Korea"". Packet lead; exact item title, classification, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/36633,,,North Korea; Principals Committee; May 20 1994,North Korea; PC; Anthony Lake,"MDR packet containing a Principals Committee summary of conclusions and background memo to Anthony Lake for a May 20, 1994 North Korea meeting."
64,1994-10-18,Regional Proliferation Cases,High,Remarks on the Nuclear Agreement With North Korea,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1994-book2-doc-pg1794,published primary source,,public statement,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1994, Book II, pp. 1794-1795, ""Remarks on the Nuclear Agreement With North Korea""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1994-book2/PPP-1994-book2-doc-pg1794,https://www.govinfo.gov/content/pkg/PPP-1994-book2/pdf/PPP-1994-book2-doc-pg1794.pdf,,Local Public Papers audit,Regional Proliferation Cases; pp. 1794-1795; Public Papers,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1994, Book II, pp. 1794-1795, ""Remarks on the Nuclear Agreement With North Korea""; GovInfo."
65,1995-1996,Regional Proliferation Cases,High,Declassified Documents Concerning Iran,Clinton Digital Library MDR,Clinton Digital Library,NSC Near East and South Asian Affairs / Nonproliferation offices,2015-0641-M,packet lead,Medium,declassified document packet,Regional-balancing lead; identify the exact proliferation-policy items before selection.,"Source: Clinton Digital Library, NSC Near East and South Asian Affairs / Nonproliferation offices, 2015-0641-M. Packet title: ""Declassified Documents Concerning Iran"". Packet lead; exact item title, classification, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/57243,,,Iran; Russian arms sales; Gary Samore; Daniel Poneman,Iran; Russia arms sales; regional proliferation,"MDR packet with material on Iran, including a report on the impact of Russian arms sales to Iran."
66,1996,Regional Proliferation Cases,Medium,Declassified documents concerning China,Clinton Digital Library MDR,Clinton Digital Library,Mandatory Declassification Review list,2016-0557-M,source-path lead,Review,MDR source path,MDR-list locator only; locate the item page and determine whether missile/nuclear transfer issues are present.,"Source: Clinton Digital Library, Mandatory Declassification Review list, 2016-0557-M. Title: ""Declassified documents concerning China"". Source-path lead; replace with an item-level archival citation before final FRUS selection.",https://clinton.presidentiallibraries.us/items/show/118879,,,China; missile; nonproliferation,China; missiles; regional proliferation,China source path added to keep the regional chapter from becoming North Korea-only; this item is policy-context material and should be replaced if stronger missile-transfer records are located.
67,1997-04-14,Regional Proliferation Cases,Medium,Declassified documents concerning South Asia,Clinton Digital Library MDR,Clinton Digital Library,Mandatory Declassification Review list,2006-0859-M,source-path lead,Review,Volume VIII handoff / MDR source path,April 1997 Deputies Committee packet is outside the Volume VII date range; use as handoff context and a locator for earlier India/Pakistan nuclear files.,"Source: Clinton Digital Library, Mandatory Declassification Review list, 2006-0859-M. Title: ""Declassified documents concerning South Asia"". Source-path lead; replace with an item-level archival citation before final FRUS selection.",https://clinton.presidentiallibraries.us/items/show/100535,,,South Asia; India; Pakistan; nuclear,South Asia; India; Pakistan,"Deputies Committee packet with agendas, discussion paper, and summary of conclusions on the framework of U.S. policy toward South Asia; use as a handoff locator for earlier India/Pakistan nuclear coverage."
68,,Regional Proliferation Cases,High,"Aoki Notes [G-7, North Korea] [2]",NARA Scout candidate,National Archives Catalog,,NAID 42219771,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219771. File-unit title: ""Aoki Notes [G-7, North Korea] [2]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219771,,https://therealjameswilson.github.io/nara-scout/?q=Aoki%20Notes%20%5BG-7%2C%20North%20Korea%5D%20%5B2%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
69,,Regional Proliferation Cases,High,North Korea - Framework [1],NARA Scout candidate,National Archives Catalog,,NAID 42219814,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219814. File-unit title: ""North Korea - Framework [1]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219814,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B1%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
70,,Regional Proliferation Cases,High,North Korea - Framework [10],NARA Scout candidate,National Archives Catalog,,NAID 42219823,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219823. File-unit title: ""North Korea - Framework [10]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219823,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B10%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
71,,Regional Proliferation Cases,High,North Korea - Framework [11],NARA Scout candidate,National Archives Catalog,,NAID 42219824,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219824. File-unit title: ""North Korea - Framework [11]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219824,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B11%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
72,,Regional Proliferation Cases,High,North Korea - Framework [2],NARA Scout candidate,National Archives Catalog,,NAID 42219815,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219815. File-unit title: ""North Korea - Framework [2]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219815,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B2%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
73,,Regional Proliferation Cases,High,North Korea - Framework [3],NARA Scout candidate,National Archives Catalog,,NAID 42219816,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219816. File-unit title: ""North Korea - Framework [3]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219816,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B3%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
74,,Regional Proliferation Cases,High,North Korea - Framework [5],NARA Scout candidate,National Archives Catalog,,NAID 42219818,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219818. File-unit title: ""North Korea - Framework [5]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219818,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B5%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
75,,Regional Proliferation Cases,High,North Korea - Framework [7],NARA Scout candidate,National Archives Catalog,,NAID 42219820,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219820. File-unit title: ""North Korea - Framework [7]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219820,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B7%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
76,,Regional Proliferation Cases,High,North Korea - Framework [9],NARA Scout candidate,National Archives Catalog,,NAID 42219822,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219822. File-unit title: ""North Korea - Framework [9]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219822,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Framework%20%5B9%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
77,,Regional Proliferation Cases,High,"North Korea - Principals’ and Deputies’ Meetings, 1994 [2]",NARA Scout candidate,National Archives Catalog,,NAID 42219832,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219832. File-unit title: ""North Korea - Principals’ and Deputies’ Meetings, 1994 [2]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219832,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20Principals%E2%80%99%20and%20Deputies%E2%80%99%20Meetings%2C%201994%20%5B2%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
78,,Regional Proliferation Cases,High,"North Korea - US Internal Decision-Making, 1994 [3]",NARA Scout candidate,National Archives Catalog,,NAID 42219838,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219838. File-unit title: ""North Korea - US Internal Decision-Making, 1994 [3]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219838,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20US%20Internal%20Decision-Making%2C%201994%20%5B3%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
79,,Regional Proliferation Cases,High,"North Korea - US Internal Decision-Making, 1994 [4]",NARA Scout candidate,National Archives Catalog,,NAID 42219839,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 42219839. File-unit title: ""North Korea - US Internal Decision-Making, 1994 [4]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219839,,https://therealjameswilson.github.io/nara-scout/?q=North%20Korea%20-%20US%20Internal%20Decision-Making%2C%201994%20%5B4%5D,Cached NARA Scout result: Regional Proliferation Cases,Regional Proliferation Cases,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
80,1993-11-23,Chemical and Biological Weapons,High,"Chemical Weapons Convention, Treaty Document 103-21",Congressional treaty document,Congress.gov,Senate Treaty Documents,Treaty Doc. 103-21,published primary source metadata,High,ratification record,"Congress.gov does not provide pre-1995 full treaty text, but the treaty-document metadata and Senate action trail are authoritative.","Source: Congress.gov, Senate Treaty Documents, Treaty Doc. 103-21. Title: ""Chemical Weapons Convention, Treaty Document 103-21"". Published primary-source record; use with internal policy files before final document selection.",https://www.congress.gov/treaty-document/103rd-congress/21/document-text,,,CWC; Treaty Doc. 103-21; ratification,CWC; Senate; ratification,"Formal Senate treaty-document trail for the CWC, needed to anchor the 1993 submission and 1996 ratification debate record."
81,1993-2001,Chemical and Biological Weapons,High,Elisa Harris Collection Finding Aid,Clinton Library finding aid,Clinton Digital Library,NSC Nonproliferation and Export Controls Office,2016-0158-F Segment 1,collection lead,High,finding aid,No digitized items yet; requires research-room or request workflow.,"Source: Clinton Digital Library, NSC Nonproliferation and Export Controls Office, 2016-0158-F Segment 1. Collection title: ""Elisa Harris Collection Finding Aid"". Collection-level lead; exact folder, item title, classification, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/57270,,,Elisa Harris; CWC; NSC; briefing materials,CWC; Elisa Harris; NSC,"Finding aid for Elisa Harris files containing correspondence, memoranda, reports, briefing and meeting materials, emails, and notes on the Chemical Weapons Convention."
82,1994-09-28,Chemical and Biological Weapons,High,Second Clinton/Yeltsin One-on-One,Companion site released memcon,Clinton-Russia-High-Level,NSC European Affairs Office,2018-1215-M / CDL item 101758,item-level review copy,High,released leader memcon,High-value CBW item; source note should cite the Clinton Digital Library item and NAID 7585499.,"Source: NSC European Affairs Office, 2018-1215-M / CDL item 101758. Title: ""Second Clinton/Yeltsin One-on-One"". Research lead; verify item-level source details before final FRUS selection. Review copy available through the companion Clinton-Russia page; verify the final citation against the owning release packet.",https://clinton.presidentiallibraries.us/items/show/101758,https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf,,CW/BW; Yeltsin; Ukraine; CoCom,CW/BW; Russia; Ukraine,"Released Clinton-Yeltsin one-on-one text covering CW/BW, Ukraine, Nagorno-Karabakh, CoCom, NATO, and European security."
83,1995-02-16,Chemical and Biological Weapons,High,Letter to Congress on chemical and biological weapons,Archived White House,Archived White House,Clinton administration public record,1995-02-16 CBW report letter,published primary source,,public statement,,"Source: Archived White House, Clinton administration public record, 1995-02-16 CBW report letter. Title: ""Letter to Congress on chemical and biological weapons"". Published primary source.",https://clintonwhitehouse6.archives.gov/1995/02/1995-02-16-letter-to-congress-on-chemical-and-biological-weapons.html,,,Local public milestone page,CWC; BWC; Congress,"Primary-source lead for CWC submission and PrepCom work, the 1994 BWC Special Conference, and the Ad Hoc Group mandate."
84,1996-04-25,Chemical and Biological Weapons,Medium,Anthony Lake address on the arms-control agenda,Archived White House,Archived White House,Clinton administration public record,1996-04-25 Fletcher School address,published primary source,,public statement,,"Source: Archived White House, Clinton administration public record, 1996-04-25 Fletcher School address. Title: ""Anthony Lake address on the arms-control agenda"". Published primary source.",https://clintonwhitehouse6.archives.gov/1996/04/1996-04-25-anthony-lake-address-to-the-fletcher-school.html,,,Local public milestone page,CWC; BWC; CTBT; arms-control agenda,"National Security Advisor address linking the 1996 agenda to BWC strengthening, CTBT signature, and CWC ratification."
85,1996-09-11,Chemical and Biological Weapons,High,The Chemical Weapons Convention Executive Report,Senate executive report,Congress.gov,Senate Foreign Relations Committee,Ex. Rept. 104-33,published primary source,High,ratification record,Essential legislative record; pair with NSC/ACDA/State files on CWC conditions and implementation.,"Source: Congress.gov, Senate Foreign Relations Committee, Ex. Rept. 104-33. Title: ""The Chemical Weapons Convention Executive Report"". Published primary-source record; use with internal policy files before final document selection.",https://www.congress.gov/congressional-report/104th-congress/executive-report/33/1,,,CWC; Senate Foreign Relations; ACDA; ratification,CWC; Senate; ACDA; verification,"Senate Foreign Relations report for CWC ratification, including committee history, verification questions, and administration testimony."
86,1996-11-12,Chemical and Biological Weapons,High,Letter on actions against weapons of mass destruction,Archived White House,Archived White House,Clinton administration public record,1996-11-12 WMD/CBW report letter,published primary source,,public statement,,"Source: Archived White House, Clinton administration public record, 1996-11-12 WMD/CBW report letter. Title: ""Letter on actions against weapons of mass destruction"". Published primary source.",https://clintonwhitehouse6.archives.gov/1996/11/1996-11-12-letter-on-actions-vs-mass-destruction-weapons.html,,,Local public milestone page,CWC; BWC; Australia Group; WMD,"Late-1996 primary-source lead for CWC ratification, BWC protocol work, Australia Group export controls, and CBW terrorism concerns."
87,1996-11-25,Chemical and Biological Weapons,Medium,Biological Weapons Convention review-conference source trail,Congressional Record,Congress.gov,"Congressional Record, Senate",BWC Fourth Review Conference lead,published primary source,Review,BWC context,1997 printed context for a November-December 1996 conference; find the contemporaneous State/ACDA cable or BWC conference record before selection.,"Source: Congress.gov, Congressional Record, Senate, BWC Fourth Review Conference lead. Title: ""Biological Weapons Convention review-conference source trail"". Published primary-source record; use with internal policy files before final document selection.",https://www.congress.gov/congressional-record/volume-143/issue-159/senate-section/article/S12504-4,,,BWC; Fourth Review Conference; 1996,BWC; verification protocol; 1996,Locator for the BWC strengthening lane and the November-December 1996 Fourth Review Conference.
88,,Chemical and Biological Weapons,High,Chemical Weapons Convention Statement 9/12/96,NARA Scout candidate,National Archives Catalog,,NAID 23903437,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 23903437. File-unit title: ""Chemical Weapons Convention Statement 9/12/96"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/23903437,,https://therealjameswilson.github.io/nara-scout/?q=Chemical%20Weapons%20Convention%20Statement%209%2F12%2F96,Cached NARA Scout result: Chemical and Biological Weapons,Chemical and Biological Weapons,NARA Scout candidate file unit identified for the Chemical and Biological Weapons chapter.
89,,Chemical and Biological Weapons,Medium,Radio Address - Iraq & Chemical Weapons Convention 9/7/96,NARA Scout candidate,National Archives Catalog,,NAID 23903432,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 23903432. File-unit title: ""Radio Address - Iraq & Chemical Weapons Convention 9/7/96"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/23903432,,https://therealjameswilson.github.io/nara-scout/?q=Radio%20Address%20-%20Iraq%20%26%20Chemical%20Weapons%20Convention%209%2F7%2F96,Cached NARA Scout result: Chemical and Biological Weapons,Chemical and Biological Weapons,NARA Scout candidate file unit identified for the Chemical and Biological Weapons chapter.
90,1994-09-26,Conventional Arms and Landmines,High,Fact Sheet: U.S. Policy on a Landmine Control Regime,Archived White House,Clinton White House archive,Archived White House fact sheets,1994-09-26 landmine fact sheet,published primary source,High,public policy record,Public anchor; pair with NSC/State/DOD policy records and CCW negotiating files.,"Source: Clinton White House archive, Archived White House fact sheets, 1994-09-26 landmine fact sheet. Title: ""Fact Sheet: U.S. Policy on a Landmine Control Regime"". Published primary source.",https://clintonwhitehouse6.archives.gov/1994/09/1994-09-26-fact-sheet-us-policy-on-a-landmine-control-regime-a.html,,,landmine control regime; export moratorium; UN General Assembly,landmines; export moratorium; UNGA,White House fact sheet on the landmine control regime initiative and anti-personnel landmine export moratorium.
91,1995,Conventional Arms and Landmines,Medium,Convention on Prohibitions or Restrictions on the Use of Certain Conventional Weapons,Senate executive report,Congress.gov,Senate Foreign Relations Committee,Ex. Rept. 104-1,published primary source,Medium,treaty record,Treaty context; use to structure CCW/Protocol II follow-up searches.,"Source: Congress.gov, Senate Foreign Relations Committee, Ex. Rept. 104-1. Title: ""Convention on Prohibitions or Restrictions on the Use of Certain Conventional Weapons"". Published primary-source record; use with internal policy files before final document selection.",https://www.congress.gov/congressional-report/104th-congress/executive-report/1/1,,,CCW; Protocol II; landmines,CCW; Protocol II; landmines,"Senate report on the CCW, including Protocol II on mines, booby traps, and other devices."
92,1995-02-10,Conventional Arms and Landmines,High,PDD/NSC-34: U.S. Policy on Conventional Arms Transfer,Presidential decision directive,Clinton Presidential Library,Presidential Directives,PDD/NSC-34,published primary source,High,declassified policy directive,Core policy text; still needs supporting NSC/State/DOD implementation and arms-transfer decision records.,"Source: Clinton Presidential Library, Presidential Directives, PDD/NSC-34. Title: ""PDD/NSC-34: U.S. Policy on Conventional Arms Transfer"". Published primary source.",https://www.clintonlibrary.gov/sites/default/files/documents/pdd-34.pdf,,,PDD-34; conventional arms transfer; arms control initiatives,PDD-34; arms transfers; conventional arms,"Declassified White House directive setting Clinton administration conventional arms transfer policy, including arms-control and nonproliferation criteria."
93,1996-06-14,Conventional Arms and Landmines,Medium,President Clinton's Decision on Landmine Use,Congressional Record,Congress.gov,"Congressional Record, Senate","Cong. Rec. Vol. 142, No. 88",published primary source,Medium,legislative context,"Use as congressional reaction; locate underlying White House, DOD, and State decision records.","Source: Congress.gov, Congressional Record, Senate, Cong. Rec. Vol. 142, No. 88. Title: ""President Clinton's Decision on Landmine Use"". Published primary-source record; use with internal policy files before final document selection.",https://www.congress.gov/congressional-record/volume-142/issue-88/senate-section/article/S6311-3,,,landmine use; 1996; Clinton decision,landmines; Congress; policy decision,"Congressional record lead for the 1996 landmine-use policy decision, expanding the conventional chapter beyond one NARA file-unit hit."
94,1996-06-26,Conventional Arms and Landmines,High,PDD/NSC-48: Anti-Personnel Landmines,Presidential decision directive source path,Clinton Presidential Library,Presidential Directives,PDD/NSC-48,source-path lead,Medium,directive source path,Official Clinton Library directive list confirms the policy directive; locate official document text or cite released copy before final use.,"Source: Clinton Presidential Library, Presidential Directives, PDD/NSC-48. Title: ""PDD/NSC-48: Anti-Personnel Landmines"". Source-path lead; replace with an item-level archival citation before final FRUS selection.",https://www.clintonlibrary.gov/research/presidential-directives,,,PDD-48; Anti-Personnel Landmines; APL,PDD-48; landmines; APL,"Official Clinton Library presidential-directives path for the June 26, 1996 anti-personnel landmine directive."
95,,Conventional Arms and Landmines,Medium,Landmines,NARA Scout candidate,National Archives Catalog,,NAID 40477989,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 40477989. File-unit title: ""Landmines"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/40477989,,https://therealjameswilson.github.io/nara-scout/?q=Landmines,Cached NARA Scout result: Conventional Arms and Landmines,Conventional Arms and Landmines,NARA Scout candidate file unit identified for the Conventional Arms and Landmines chapter.
