sequence,queue,readiness,next_action,required_verification,date,chapter,priority,title,source_type,repository,collection,identifier,level,confidence,compiler_risk,source_note,source_url,digital_object_url,summary
33,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - December 1994 No. 1 [5],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246221,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246221. File-unit title: ""Chron File - December 1994 No. 1 [5]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246221,,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
34,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - February 1994 No. 1 [2],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122245915,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122245915. File-unit title: ""Chron File - February 1994 No. 1 [2]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122245915,,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
35,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - July 1993 No. 1 [5],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122245690,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122245690. File-unit title: ""Chron File - July 1993 No. 1 [5]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122245690,,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
36,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - June 1993 No. 1 [1],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122245640,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122245640. File-unit title: ""Chron File - June 1993 No. 1 [1]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122245640,,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
37,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - May 1994 No. 1 [5],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246013,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246013. File-unit title: ""Chron File - May 1994 No. 1 [5]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246013,,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
38,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - May 1994 No. 1 [7],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246017,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246017. File-unit title: ""Chron File - May 1994 No. 1 [7]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246017,,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
39,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - November 1994 No. 1 [2],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246193,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246193. File-unit title: ""Chron File - November 1994 No. 1 [2]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246193,,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
40,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - October 1994 No. 1 [1],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246167,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246167. File-unit title: ""Chron File - October 1994 No. 1 [1]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246167,,NARA Scout candidate in Robert Bell chron files located through counterproliferation and Defense Counterproliferation Initiative searches.
41,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,1994,Regional Proliferation Cases,High,"North Korea - Negotiations with the Democratic Peoples' Republic of Korea (DPRK), 1994",Clinton Digital Library folder,Clinton Digital Library,Steven Aoki files,2009-0528-F Segment 2,fileUnit,Medium,Folder-level lead; needs item-level page screening.,"Source: Clinton Digital Library, Steven Aoki files, 2009-0528-F Segment 2. File-unit title: ""North Korea - Negotiations with the Democratic Peoples' Republic of Korea (DPRK), 1994"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/72779,,Folder lead from Steven Aoki's NSC Nonproliferation and Export Controls files for 1994 DPRK negotiations.
42,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Regional Proliferation Cases,High,"Aoki Notes [G-7, North Korea] [2]",NARA Scout candidate,National Archives Catalog,,NAID 42219771,fileUnit,,,"Source: National Archives Catalog, NAID 42219771. File-unit title: ""Aoki Notes [G-7, North Korea] [2]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219771,,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
43,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Regional Proliferation Cases,High,North Korea - Framework [1],NARA Scout candidate,National Archives Catalog,,NAID 42219814,fileUnit,,,"Source: National Archives Catalog, NAID 42219814. File-unit title: ""North Korea - Framework [1]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219814,,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
44,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Regional Proliferation Cases,High,North Korea - Framework [10],NARA Scout candidate,National Archives Catalog,,NAID 42219823,fileUnit,,,"Source: National Archives Catalog, NAID 42219823. File-unit title: ""North Korea - Framework [10]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219823,,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
45,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Regional Proliferation Cases,High,North Korea - Framework [11],NARA Scout candidate,National Archives Catalog,,NAID 42219824,fileUnit,,,"Source: National Archives Catalog, NAID 42219824. File-unit title: ""North Korea - Framework [11]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219824,,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
46,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Regional Proliferation Cases,High,North Korea - Framework [2],NARA Scout candidate,National Archives Catalog,,NAID 42219815,fileUnit,,,"Source: National Archives Catalog, NAID 42219815. File-unit title: ""North Korea - Framework [2]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219815,,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
47,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Regional Proliferation Cases,High,North Korea - Framework [3],NARA Scout candidate,National Archives Catalog,,NAID 42219816,fileUnit,,,"Source: National Archives Catalog, NAID 42219816. File-unit title: ""North Korea - Framework [3]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219816,,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
48,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Regional Proliferation Cases,High,North Korea - Framework [5],NARA Scout candidate,National Archives Catalog,,NAID 42219818,fileUnit,,,"Source: National Archives Catalog, NAID 42219818. File-unit title: ""North Korea - Framework [5]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219818,,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
49,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Regional Proliferation Cases,High,North Korea - Framework [7],NARA Scout candidate,National Archives Catalog,,NAID 42219820,fileUnit,,,"Source: National Archives Catalog, NAID 42219820. File-unit title: ""North Korea - Framework [7]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219820,,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
50,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Regional Proliferation Cases,High,North Korea - Framework [9],NARA Scout candidate,National Archives Catalog,,NAID 42219822,fileUnit,,,"Source: National Archives Catalog, NAID 42219822. File-unit title: ""North Korea - Framework [9]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219822,,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
51,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Regional Proliferation Cases,High,"North Korea - Principals’ and Deputies’ Meetings, 1994 [2]",NARA Scout candidate,National Archives Catalog,,NAID 42219832,fileUnit,,,"Source: National Archives Catalog, NAID 42219832. File-unit title: ""North Korea - Principals’ and Deputies’ Meetings, 1994 [2]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219832,,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
52,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Regional Proliferation Cases,High,"North Korea - US Internal Decision-Making, 1994 [3]",NARA Scout candidate,National Archives Catalog,,NAID 42219838,fileUnit,,,"Source: National Archives Catalog, NAID 42219838. File-unit title: ""North Korea - US Internal Decision-Making, 1994 [3]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219838,,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
53,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Regional Proliferation Cases,High,"North Korea - US Internal Decision-Making, 1994 [4]",NARA Scout candidate,National Archives Catalog,,NAID 42219839,fileUnit,,,"Source: National Archives Catalog, NAID 42219839. File-unit title: ""North Korea - US Internal Decision-Making, 1994 [4]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/42219839,,NARA Scout candidate file unit identified for the Regional Proliferation Cases chapter.
54,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Chemical and Biological Weapons,High,Chemical Weapons Convention Statement 9/12/96,NARA Scout candidate,National Archives Catalog,,NAID 23903437,fileUnit,,,"Source: National Archives Catalog, NAID 23903437. File-unit title: ""Chemical Weapons Convention Statement 9/12/96"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/23903437,,NARA Scout candidate file unit identified for the Chemical and Biological Weapons chapter.
55,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Chemical and Biological Weapons,Medium,Radio Address - Iraq & Chemical Weapons Convention 9/7/96,NARA Scout candidate,National Archives Catalog,,NAID 23903432,fileUnit,,,"Source: National Archives Catalog, NAID 23903432. File-unit title: ""Radio Address - Iraq & Chemical Weapons Convention 9/7/96"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/23903432,,NARA Scout candidate file unit identified for the Chemical and Biological Weapons chapter.
56,Resolve file unit,File-unit lead,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Conventional Arms and Landmines,Medium,Landmines,NARA Scout candidate,National Archives Catalog,,NAID 40477989,fileUnit,,,"Source: National Archives Catalog, NAID 40477989. File-unit title: ""Landmines"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/40477989,,NARA Scout candidate file unit identified for the Conventional Arms and Landmines chapter.
57,Pull source path,"Collection, finding-aid, or source-path lead",Use as a call-slip or search-path lead until a specific item-level record is located.,requestable identifier; box/folder title; item boundaries; date span; classification markings; selection relevance,1993-1996,NPT and CTBT,High,Nuclear Testing and Comprehensive Test Ban,Clinton Library finding aid,Clinton Presidential Library,FOIA 2011-0821-F,2011-0821-F,collection lead,High,"Collection lead, not item-level selection. Needs folder and page-level review.","Source: Clinton Presidential Library, FOIA 2011-0821-F, 2011-0821-F. Collection title: ""Nuclear Testing and Comprehensive Test Ban"". Collection-level lead; exact folder, item title, classification, and pagination pending.",https://www.clintonlibrary.gov/research/archives/finding-aids/nuclear-testing-and-comprehensive-test-ban,,"Primary source path for NSC memoranda, emails, and press material on the nuclear testing review, PRD-19, PDD-11, and CTBT negotiation decisions."
58,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1995-05-11,NPT and CTBT,High,Statement on Extension of the Nuclear Non-Proliferation Treaty,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1995-book1-doc-pg680,published primary source,,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book I, pp. 680-681, ""Statement on Extension of the Nuclear Non-Proliferation Treaty""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1995-book1/PPP-1995-book1-doc-pg680,https://www.govinfo.gov/content/pkg/PPP-1995-book1/pdf/PPP-1995-book1-doc-pg680.pdf,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book I, pp. 680-681, ""Statement on Extension of the Nuclear Non-Proliferation Treaty""; GovInfo."
59,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1995-08-11,NPT and CTBT,High,Remarks Announcing Comprehensive Nuclear Weapons Test Ban Negotiations,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1995-book2-doc-pg1251,published primary source,,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book II, pp. 1251-1252, ""Remarks Announcing Comprehensive Nuclear Weapons Test Ban Negotiations""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1995-book2/PPP-1995-book2-doc-pg1251,https://www.govinfo.gov/content/pkg/PPP-1995-book2/pdf/PPP-1995-book2-doc-pg1251.pdf,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book II, pp. 1251-1252, ""Remarks Announcing Comprehensive Nuclear Weapons Test Ban Negotiations""; GovInfo."
60,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1995-08-11,NPT and CTBT,High,Statement on Comprehensive Nuclear Weapons Test Ban Negotiations,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1995-book2-doc-pg1252,published primary source,,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book II, pp. 1252-1253, ""Statement on Comprehensive Nuclear Weapons Test Ban Negotiations""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1995-book2/PPP-1995-book2-doc-pg1252,https://www.govinfo.gov/content/pkg/PPP-1995-book2/pdf/PPP-1995-book2-doc-pg1252.pdf,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book II, pp. 1252-1253, ""Statement on Comprehensive Nuclear Weapons Test Ban Negotiations""; GovInfo."
61,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1996-09-10,NPT and CTBT,High,Remarks on the Comprehensive Nuclear Test Ban Treaty and an Exchange With Reporters in Kansas City,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1996-book2-doc-pg1525,published primary source,,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1996, Book II, pp. 1525-1526, ""Remarks on the Comprehensive Nuclear Test Ban Treaty and an Exchange With Reporters in Kansas City""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1996-book2/PPP-1996-book2-doc-pg1525,https://www.govinfo.gov/content/pkg/PPP-1996-book2/pdf/PPP-1996-book2-doc-pg1525.pdf,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1996, Book II, pp. 1525-1526, ""Remarks on the Comprehensive Nuclear Test Ban Treaty and an Exchange With Reporters in Kansas City""; GovInfo."
62,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1997-09-23,NPT and CTBT,High,"Comprehensive Nuclear Test-Ban Treaty, Treaty Document 105-28",Congressional treaty document,Congress.gov,Senate Treaty Documents,Treaty Doc. 105-28,published primary source,High,"Late formal submission, but it preserves the signed September 24, 1996 treaty text and State Department analysis.","Source: Congress.gov, Senate Treaty Documents, Treaty Doc. 105-28. Title: ""Comprehensive Nuclear Test-Ban Treaty, Treaty Document 105-28"". Published primary-source record; use with internal policy files before final document selection.",https://www.congress.gov/treaty-document/105th-congress/28/document-text,,"Use as the formal treaty-text endpoint for the 1993-1996 CTBT negotiation and signature sequence, while keeping Senate ratification handling in the Volume VIII handoff lane."
63,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1995-05-11,NPT and CTBT,Medium,The Nuclear Non-Proliferation Treaty,Congressional Record,Congress.gov,"Congressional Record, Senate","Cong. Rec. Vol. 141, No. 78",published primary source,Medium,Context source; should be paired with State/ACDA negotiating records before selection.,"Source: Congress.gov, Congressional Record, Senate, Cong. Rec. Vol. 141, No. 78. Title: ""The Nuclear Non-Proliferation Treaty"". Published primary-source record; use with internal policy files before final document selection.",https://www.congress.gov/congressional-record/volume-141/issue-78/senate-section/article/S6498-1,,"Congressional reaction to the NPT indefinite extension decision, useful for triangulating the public diplomatic victory against internal negotiating records."
64,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1994-09-29,Strategic Arms and Nuclear Security,High,Joint Statement on Strategic Stability and Nuclear Security,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1994-book2-doc-pg1659,published primary source,,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1994, Book II, pp. 1659-1661, ""Joint Statement on Strategic Stability and Nuclear Security""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1994-book2/PPP-1994-book2-doc-pg1659,https://www.govinfo.gov/content/pkg/PPP-1994-book2/pdf/PPP-1994-book2-doc-pg1659.pdf,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1994, Book II, pp. 1659-1661, ""Joint Statement on Strategic Stability and Nuclear Security""; GovInfo."
65,Date/control anchor,Published or public primary-source locator,"Use the date, public claim, or treaty-text endpoint; pair with internal policy, clearance, or implementation records before final selection.",published citation; policy claim to match; internal counterpart; chapter placement,1995-05-10,Strategic Arms and Nuclear Security,High,Joint Statement on the Transparency and Irreversibility of the Process of Reducing Nuclear Weapons,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1995-book1-doc-pg671,published primary source,,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book I, pp. 671-672, ""Joint Statement on the Transparency and Irreversibility of the Process of Reducing Nuclear Weapons""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1995-book1/PPP-1995-book1-doc-pg671,https://www.govinfo.gov/content/pkg/PPP-1995-book1/pdf/PPP-1995-book1-doc-pg671.pdf,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book I, pp. 671-672, ""Joint Statement on the Transparency and Irreversibility of the Process of Reducing Nuclear Weapons""; GovInfo."
